id,activity,task,story,persona,outcome,slice,method,score,reasoning,depends_on,okr,okr_contribution,acceptance_criteria_file,wsjf_value,wsjf_time,wsjf_risk,wsjf_size,rice_reach,rice_impact,rice_confidence,rice_effort,moscow
S016,Connect services and secrets,Self-service secrets for non-prod,"As an Application Developer, I want the IDP to inject secrets into my env as environment variables or mounted files, so that I do not roll my own bootstrap.",Application Developer,Native secret injection,pi-1,wsjf,3.00,"Pairs with S015; without injection, devs script around the vault and reintroduce the leak.",S015,,,slice-1-acceptance-criteria.md#S016,5,3,4,4,,,,,
S017,Connect services and secrets,Request access to managed services,"As an Application Developer, I want a list of internally-available managed services (DBs, queues, caches) I can attach to my env in one click, so that I do not file a ticket for a dev Postgres.",Application Developer,One-click managed service attach,pi-1,wsjf,2.86,"Closes another ticket-flow loop; reach is broad (every team needs a dev DB).",S007,,,slice-1-acceptance-criteria.md#S017,8,5,7,7,,,,,
S018,Connect services and secrets,Request access to managed services,"As an Application Developer, I want to request a new shared service to be added to the catalog with a justification, so that the catalog grows from real demand.",Application Developer,Demand-driven service catalog growth,pi-2,wsjf,1.83,"Process plumbing; lower urgency than the initial catalog.",S017,,,,3,2,3,4,,,,,
S019,Connect services and secrets,Bring my own tools (non-prod only),"As an Application Developer, I want to install arbitrary tools, container images, or libraries in my non-prod sandbox without a security review queue, so that I can try things.",Application Developer,No-queue BYO tools (non-prod),pi-1,wsjf,3.00,"Direct resolution of Q5 conflict; the platform-team objection is acknowledged via S020 background scanning.",S007,,,slice-1-acceptance-criteria.md#S019,8,5,5,6,,,,,
S020,Connect services and secrets,Bring my own tools (non-prod only),"As a Platform Team Engineer, I want a background SBOM/scan job to run on BYO non-prod workloads and surface findings on a dashboard, so that BYO is observable without being blocking.",Platform Team Engineer,Background BYO visibility,pi-1,wsjf,2.83,"The compensating control that makes S019 acceptable to the platform team. Without it, the Q5 compromise collapses.",S019,,,slice-1-acceptance-criteria.md#S020,8,5,4,6,,,,,
S021,Deploy to staging,Push to staging without a ticket,"As an Application Developer, I want to deploy my containerized app to staging from the IDP UI or CLI, so that I do not need a release-manager ticket for non-prod pushes.",Application Developer,No-ticket staging deploys,pi-1,wsjf,3.13,"Closes the loop from sandbox to a shared staging env — without it, devs build but don't ship.",S007|S015,,,slice-1-acceptance-criteria.md#S021,13,8,4,8,,,,,
S022,Deploy to staging,Push to staging without a ticket,"As an Application Developer, I want my deploy to show me logs and a healthcheck result in the UI, so that I know whether it worked.",Application Developer,Inline deploy feedback,pi-1,wsjf,3.20,"Without this, the deploy is a black box and devs go back to SSH/CLI workflows.",S021,,,slice-1-acceptance-criteria.md#S022,8,5,3,5,,,,,
S023,Deploy to staging,Push to staging without a ticket,"As an Application Developer, I want preview environments per pull request, so that reviewers can click a link instead of pulling my branch locally.",Application Developer,Per-PR preview environments,pi-2,wsjf,2.86,"High delight per dev; gated on PI 1 deploy + sandbox primitives being stable.",S007|S021,,,,8,5,7,7,,,,,
S024,Deploy to staging,Prod deploys (carve-out — approval-gated),"As a Platform Team Engineer, I want prod deploys to require a documented approver from a configured list, so that the permit-by-default model does not leak into prod.",Platform Team Engineer,Approval-gated prod deploys (the agreed carve-out),pi-2,wsjf,3.40,"Both personas align on the prod carve-out (Q6). Not in PI 1 only because PI 1 is non-prod-focused.",S021,,,,8,8,1,5,,,,,
S025,Deploy to staging,Prod deploys (carve-out — approval-gated),"As an Application Developer, I want to submit a prod deploy request from the same UI as my staging deploys, so that the workflow feels continuous even though prod is gated.",Application Developer,Unified deploy UX (staging and prod),pi-2,wsjf,2.50,"Adoption hygiene — devs should not learn two UIs for the same intent.",S024,,,,5,3,2,4,,,,,
S026,Operate and observe,See my env cost and usage,"As an Application Developer, I want to see my env's running cost in near-real time in the IDP UI, so that I notice if I left something expensive running.",Application Developer,Per-env real-time cost visibility,pi-1,wsjf,3.40,"Directly tests H1 — visibility is the user's chosen alternative to a hard cap.",S007|S012,,,slice-1-acceptance-criteria.md#S026,8,8,1,5,,,,,
S027,Operate and observe,See my env cost and usage,"As a Platform Team Engineer, I want a project-wide spend dashboard with per-team and per-env breakdowns, so that the next $40K spike is attributable in hours, not weeks.",Platform Team Engineer,Org-wide spend attribution,pi-1,wsjf,4.43,"THE platform-team risk-reduction story for PI 1 — what they get in exchange for the deferred approval queue.",S012,,,slice-1-acceptance-criteria.md#S027,13,13,5,7,,,,,
S028,Operate and observe,See my env cost and usage,"As an Application Developer, I want to receive a budget alert when my env's projected monthly cost crosses a configured threshold, so that I am the first to know I have a problem.",Application Developer,Budget-threshold alerts,pi-1,wsjf,4.40,"The user's chosen alternative to hard caps (Q3). Cheap, high-leverage, validates H1.",S026,,,slice-1-acceptance-criteria.md#S028,8,8,6,5,,,,,
S029,Operate and observe,Tear down and clean up,"As an Application Developer, I want to tear down my env in one click and confirm everything is destroyed, so that I do not leak resources after I am done.",Application Developer,One-click teardown,pi-1,wsjf,4.20,"Symmetric to S007 — devs only trust spin-up if teardown also works cleanly. Also a key cost-control mechanism for PI 1.",S007,,,slice-1-acceptance-criteria.md#S029,8,5,8,5,,,,,
S030,Operate and observe,Tear down and clean up,"As a Platform Team Engineer, I want auto-expiry on sandbox envs after a configurable idle period with a developer-controlled extension, so that forgotten envs do not accumulate.",Platform Team Engineer,Auto-expiry for forgotten envs,pi-2,wsjf,3.40,"Strong cost-control lever once PI 1 telemetry shows the long-tail-leak pattern; not blocking for PI 1.",S029,,,,8,5,4,5,,,,,
S031,Operate and observe,Audit trail for the platform team,"As a Platform Team Engineer, I want every env creation, override, secret access, and deploy event logged to a queryable audit store, so that I can investigate incidents without paging the developer.",Platform Team Engineer,Queryable audit store,pi-1,wsjf,4.00,"Other half of the user's ""permit by default with auditing"" stance — without the audit trail, the model is just ""permit by default"".",S007|S013|S015|S021,,,slice-1-acceptance-criteria.md#S031,13,8,3,6,,,,,
S032,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),Soft cost cap per env with override-and-justify (the next step toward Q3 resolution; not a hard cap),,,pi-2,wsjf,3.00,"PI-2 tightening per Q3 resolution; deliberately downstream of PI 1 alert data.",S026|S028,,,,8,5,5,6,,,,,
S033,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),"Platform-team review queue for new ""official"" blueprints",,,pi-2,wsjf,2.40,"Quality control on the blueprint catalog once community forks land (S009).",S009,,,,5,3,4,5,,,,,
S034,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),Hard cost caps with break-glass — only if PI 1/2 cost-alert evidence shows alerts are insufficient,,,pi-3,wsjf,1.67,"Conditional on evidence; deliberately downstream so the platform-team objection is addressable but not pre-committed.",S032,,,,5,3,2,6,,,,,
S035,Non-backbone: Governance hardening (deferred per VP Eng stance),Governance hardening (deferred per VP Eng stance),Allowlist-style approval workflow for env creation — deferred per VP Eng stance; revisit only if a real incident demands it,,,pi-3,wsjf,1.13,"Explicitly deferred per VP Eng stance. Logged at PI-3 only so the platform-team objection has a documented home — NOT a commitment.",,,,,3,3,3,8,,,,,
S036,Non-backbone: Platform reliability,Platform reliability,IDP itself has SLO + on-call rotation,,,pi-2,wsjf,3.20,"Once PI 1 ships and devs depend on the IDP, IDP-itself outages become a Sev-2 issue.",,,,,8,5,3,5,,,,,
S037,Non-backbone: Platform reliability,Platform reliability,Blueprint provisioning has retry/idempotency so a half-created env does not strand resources,,,pi-2,wsjf,3.40,"Cost-control AND reliability win — half-created envs are exactly how the $40K spike happens silently.",,,,,8,5,4,5,,,,,
S038,Non-backbone: Platform reliability,Platform reliability,Multi-region IDP for DR,,,pi-3,wsjf,1.38,"Premature until adoption proves the IDP is critical-path.",,,,,5,3,3,8,,,,,
S039,Non-backbone: Security and compliance,Security and compliance,Prod-secret request flow (request → approve → time-bound access),,,pi-2,wsjf,3.40,"Pairs with S024 — once prod deploys are gated, prod secrets need the same gating.",S024,,,,8,5,4,5,,,,,
S040,Non-backbone: Security and compliance,Security and compliance,"SBOM findings escalation policy (when a CVE crosses a threshold, who is notified)",,,pi-2,wsjf,2.80,"Operationalizes the BYO scanning compromise (S020); without an escalation policy the dashboard becomes write-only.",S020,,,,5,5,4,5,,,,,
S041,Non-backbone: Security and compliance,Security and compliance,SOC2/ISO evidence export from the audit store,,,pi-3,wsjf,1.71,"Compliance lift; meaningful only after audit data has accumulated.",S031,,,,5,3,4,7,,,,,
