id,activity,task,story,persona,outcome,slice,method,score,reasoning,wsjf_value,wsjf_time,wsjf_risk,wsjf_size,rice_reach,rice_impact,rice_confidence,rice_effort,moscow
S011,Find the transaction,Look up by customer,"As a CS Agent, I want to search by customer ID or account ID in addition to email, so that I can still find them when the customer reaches out from a different email",CS Agent,I can still find them when the customer reaches out from a different email,pi-2,wsjf,2.67,"Edge case; email covers most of H1's 80%+ target.",3,2,3,3,,,,,
S012,Find the transaction,Look up by transaction ID directly,"As a CS Agent, I want to paste a transaction ID into a single search box and jump straight to that transaction, so that escalations that already have an ID don't need a multi-step lookup",CS Agent,escalations that already have an ID don't need a multi-step lookup,pi-1,wsjf,4.50,"Cheap to add once the lookup endpoint exists; covers the engineering-handoff flow.",5,3,1,2,,,,,
S013,Find the transaction,"Handle ""no results""","As a CS Agent, I want a clear ""not found"" message when a customer email doesn't match anything, so that I don't waste time wondering whether the lookup is broken or the customer is wrong",CS Agent,I don't waste time wondering whether the lookup is broken or the customer is wrong,pi-1,wsjf,5.00,"Cheap empty-state polish that prevents support churn against the new tool.",3,1,1,1,,,,,
S014,Find the transaction,"Handle ""no results""","As a CS Agent, I want suggestions when my search has a near-miss (typo, alternate email domain), so that I can recover from common input errors",CS Agent,I can recover from common input errors,pi-2,wsjf,1.67,"Nice; not load-bearing.",2,1,2,3,,,,,
S015,Review & decide,See the transaction in context,"As a CS Agent, I want to see transaction details (amount, date, customer, payment method last 4, original currency, current refund status), so that I have the facts I need to decide",CS Agent,I have the facts I need to decide,pi-1,wsjf,6.50,"Without this the agent can't confidently refund. Mostly read endpoint + render.",8,3,2,2,,,,,
S016,Review & decide,See the transaction in context,"As a CS Agent, I want to see prior refunds against this same transaction (if any), so that I don't accidentally issue a duplicate refund",CS Agent,I don't accidentally issue a duplicate refund,pi-1,wsjf,7.00,"Duplicate-refund prevention is the #1 finance risk of self-service. Mandatory.",8,5,8,3,,,,,
S017,Review & decide,See the transaction in context,"As a CS Agent, I want to see this customer's refund history across all their transactions, so that I can spot a pattern (frequent refunder) before issuing another",CS Agent,I can spot a pattern (frequent refunder) before issuing another,pi-2,wsjf,3.33,"Helps catch abuse; secondary control once duplicate-on-txn is covered.",3,2,5,3,,,,,
S018,Review & decide,Understand whether I'm allowed to refund this,"As a CS Agent, I want the portal to tell me explicitly whether this transaction is refundable (eligible / not eligible / needs lead approval) before I try, so that I'm not surprised at the submit step",CS Agent,I'm not surprised at the submit step,pi-1,wsjf,7.00,"Eligibility gate is the heart of self-service trust. Drives both H2 and H4.",13,5,3,3,,,,,
S019,Review & decide,Understand whether I'm allowed to refund this,"As a CS Agent, I want a clear reason when a transaction is not refundable via the portal (e.g., ""partial refund — escalate to engineering"", ""settled batch — escalate""), so that I know exactly what to do next",CS Agent,I know exactly what to do next,pi-1,wsjf,4.50,"Defines the escalation path back to eng cleanly; tied to non-goals.",5,3,1,2,,,,,
S020,Review & decide,Understand whether I'm allowed to refund this,"As a CS Agent, I want the eligibility rules and approval thresholds to be visible/explainable in the UI, so that I can answer a customer's ""why"" without guessing",CS Agent,"I can answer a customer's ""why"" without guessing",pi-2,wsjf,2.50,"Helps customer comms; secondary to actually having the rules enforced.",3,1,1,2,,,,,
S021,Issue the refund,Submit a refund within my limit,"As a CS Agent, I want to click a single ""Refund"" button for an eligible transaction within my limit, so that the common case is one click",CS Agent,the common case is one click,pi-1,wsjf,8.20,"The core action. Everything else exists to enable this happening cleanly.",20,13,8,5,,,,,
S022,Issue the refund,Submit a refund within my limit,"As a CS Agent, I want to enter a short reason code + free-text note before submitting, so that finance and my Lead can understand why later",CS Agent,finance and my Lead can understand why later,pi-1,wsjf,6.00,"Required for the audit trail finance signs off on (H4).",5,5,2,2,,,,,
S023,Issue the refund,Submit a refund within my limit,"As a CS Agent, I want a confirm step (""Refund $X to <customer>?"") before the action is final, so that I can catch wrong-transaction mistakes before they happen",CS Agent,I can catch wrong-transaction mistakes before they happen,pi-1,wsjf,7.50,"Mistake-prevention is critical when refunds are real money. Tiny code cost.",5,5,5,2,,,,,
S024,Issue the refund,Submit a refund within my limit,"As a CS Agent, I want the submit action to be idempotent if I double-click, so that a flaky network doesn't cause a duplicate refund",CS Agent,a flaky network doesn't cause a duplicate refund,pi-2,wsjf,5.50,"Should be pi-1, but the payments API may already enforce idempotency keys — confirm in week 1. Promoting if confirmed.",5,3,3,2,,,,,
S025,Issue the refund,Send a refund above my limit for approval,"As a CS Agent, I want to submit a refund-with-approval-request when the amount is above my limit, so that I'm not blocked from handling the case at all",CS Agent,I'm not blocked from handling the case at all,pi-1,wsjf,6.00,"Required to make the ""don't-need-engineering"" outcome real for higher-value refunds.",8,5,5,3,,,,,
S026,Issue the refund,Send a refund above my limit for approval,"As a CS Team Lead, I want to see a list of pending refund approvals with all the context the agent provided, so that I can approve or deny in one screen",CS Team Lead,I can approve or deny in one screen,pi-1,wsjf,4.00,"The Lead's primary surface. Paired with S025 to close the loop.",5,5,2,3,,,,,
S027,Issue the refund,Send a refund above my limit for approval,"As a CS Team Lead, I want to approve or deny with a required short reason, so that there's a record of why",CS Team Lead,there's a record of why,pi-1,wsjf,5.00,"Audit-required (H4). Trivial UI on top of S026.",5,3,2,2,,,,,
S028,Issue the refund,Send a refund above my limit for approval,"As a CS Team Lead, I want to be notified (email + in-portal) when a new approval is waiting, so that customers aren't waiting on me without my knowing",CS Team Lead,customers aren't waiting on me without my knowing,pi-2,wsjf,4.00,"Pi-1 will rely on Lead checking the queue manually; notification is an obvious next step.",5,2,1,2,,,,,
S029,Issue the refund,Send a refund above my limit for approval,"As a CS Agent, I want to see the status of my pending approval requests (waiting / approved / denied), so that I can update the customer without nagging my Lead",CS Agent,I can update the customer without nagging my Lead,pi-2,wsjf,3.00,"Workflow polish; agents can ask in Slack at pi-1.",3,2,1,2,,,,,
S030,Issue the refund,Handle failures from the payments service,"As a CS Agent, I want a clear human-readable error message if the payments service rejects the refund (with a ""copy details for engineering"" button), so that I have a clean escalation path",CS Agent,I have a clean escalation path,pi-1,wsjf,5.00,"Without this, every payments-API error becomes an angry Slack ping back at eng — defeats the purpose.",5,3,2,2,,,,,
S031,Issue the refund,Handle failures from the payments service,"As a CS Agent, I want the portal to auto-retry transient payments-service failures (with backoff) before showing me an error, so that I'm not bothered by blips",CS Agent,I'm not bothered by blips,pi-2,wsjf,2.67,"Pi-1 surfaces the error; pi-2 reduces the noise floor.",3,2,3,3,,,,,
S032,Confirm & communicate,See that the refund actually happened,"As a CS Agent, I want a clear ""Refund complete"" confirmation screen with the refund ID and timestamp, so that I know I can close the customer ticket",CS Agent,I know I can close the customer ticket,pi-1,wsjf,8.00,"Closes the loop; without it, agents will double-check in another tool.",8,3,5,2,,,,,
S033,Confirm & communicate,See that the refund actually happened,"As a CS Agent, I want the original transaction row to update to show ""Refunded"" immediately after, so that I'm not left guessing if I refresh",CS Agent,I'm not left guessing if I refresh,pi-1,wsjf,5.00,"State-consistency basic; user trust killer if missing.",5,3,2,2,,,,,
S034,Confirm & communicate,Communicate to the customer,"As a CS Agent, I want a copyable confirmation snippet (refund amount, expected funds-availability window, refund ID) to paste into our CS-tool reply, so that customer messaging is consistent and complete",CS Agent,customer messaging is consistent and complete,pi-1,wsjf,5.50,"Single biggest time-save inside CS's own workflow. Tiny build cost.",5,3,3,2,,,,,
S035,Confirm & communicate,Communicate to the customer,"As a CS Agent, I want the portal to send a transactional refund-confirmation email to the customer on my behalf, so that I don't have to copy-paste anything",CS Agent,I don't have to copy-paste anything,pi-3,wsjf,1.40,"Crosses a real org boundary (transactional email infra, brand voice review). Defer.",3,1,3,5,,,,,
S036,Confirm & communicate,Leave a trail for finance and audit,"As a system, log every refund attempt (success and failure) with: who, when, txn ID, amount, reason code, free-text note, approval chain",system,,pi-1,wsjf,8.00,"Non-negotiable for fintech. Drives H4. Built-in from day 1 or the project loses finance's blessing.",13,8,3,3,,,,,
S037,Confirm & communicate,Leave a trail for finance and audit,"As a Finance analyst, I want to export the refund audit log as CSV for a given date range, so that I can reconcile against the payments processor at month-end",Finance,I can reconcile against the payments processor at month-end,pi-1,wsjf,5.00,"Finance needs this for first month-end after pilot; CSV is the lowest-friction format.",8,5,2,3,,,,,
S038,Confirm & communicate,Leave a trail for finance and audit,"As a CS Team Lead, I want a per-agent refund summary (count, total amount, denied/approved breakdown) for the last 30 days, so that I can spot outliers in my team's behavior",CS Team Lead,I can spot outliers in my team's behavior,pi-2,wsjf,2.33,"Lead-visibility win; not load-bearing for pi-1.",3,2,2,3,,,,,
S039,Confirm & communicate,Leave a trail for finance and audit,"As a Finance analyst, I want the audit-log export to include a stable refund-ID that matches the payments processor's record, so that reconciliation is unambiguous",Finance,reconciliation is unambiguous,pi-2,wsjf,4.00,"Reconciliation pain killer; tightly coupled to the payments processor's ID model.",5,2,1,2,,,,,
S040,Non-backbone: Compliance & security baseline,"Identity, access, and audit-trail integrity",Wire portal authentication to company SSO with `cs-agent` and `cs-lead` roles provisioned in the identity provider,,,pi-1,wsjf,7.00,"Foundational, blocks every user story. Paired with S001.",8,5,8,3,,,,,
S041,Non-backbone: Compliance & security baseline,"Identity, access, and audit-trail integrity",All refund actions require an authenticated session; backend rejects anything else,,,pi-1,wsjf,7.00,"Non-negotiable security control; one of the things a fintech audit will ask about first.",8,5,1,2,,,,,
S042,Non-backbone: Compliance & security baseline,"Identity, access, and audit-trail integrity",Audit log is append-only and stored separately from the application DB (or on storage with retention/legal-hold),,,pi-1,wsjf,6.00,"Required for SOC 2 / PCI-tone compliance and for H4 sign-off. Real infra work.",8,5,5,3,,,,,
S043,Non-backbone: Compliance & security baseline,"Identity, access, and audit-trail integrity",Pen-test pass against the portal before scaling beyond pilot CS agents,,,pi-2,wsjf,2.60,"Gates pi-3 widening of access; doesn't gate pilot. Costly externally-driven work.",8,3,2,5,,,,,
S044,Non-backbone: Reliability & observability,Operability baseline,"Structured logs + a basic dashboard: refund attempts/hour, success/failure ratio, latency",,,pi-1,wsjf,4.50,"Needed to verify outcomes (the 30->3 ticket drop) and to debug during pilot.",5,3,1,2,,,,,
S045,Non-backbone: Reliability & observability,Operability baseline,On-call alert if refund-success rate drops below threshold or payments-service errors spike,,,pi-1,wsjf,4.50,"This is money-movement; quiet failures are the worst kind.",5,3,1,2,,,,,
S046,Non-backbone: Reliability & observability,Operability baseline,"Runbook for ""payments service is down"" — portal degrades to read-only and tells CS to escalate",,,pi-2,wsjf,2.50,"Doc + small UI affordance; pi-1 can ship without and surface raw errors.",3,1,1,2,,,,,
S047,Non-backbone: Tech foundations,"Repo, CI, and environments","Stand up the portal repo, CI, deploy pipeline, and a non-prod environment that CS can dry-run against",,,pi-1,wsjf,4.20,"Blocks everything else if not done in sprint 1.",8,8,5,5,,,,,
S048,Non-backbone: Tech foundations,"Repo, CI, and environments",Add an automated end-to-end smoke test that issues a refund against a sandbox payments account on every deploy,,,pi-2,wsjf,3.00,"Trust-multiplier for the deploy pipeline; pi-1 can rely on manual smoke for first month.",5,2,2,3,,,,,
S049,Non-backbone: Onboarding & enablement,Get CS productive with the portal,"Short written runbook for CS Agents (one page) — ""how to issue a refund in the portal""",,,pi-1,wsjf,9.00,"Free outcome multiplier; cost is one PM-day.",5,3,1,1,,,,,
S050,Non-backbone: Onboarding & enablement,Get CS productive with the portal,One in-person/Zoom training session with the CS team before pilot,,,pi-1,wsjf,11.00,"Same logic: tiny cost, huge adoption return. Trains H3.",5,5,1,1,,,,,
S051,Non-backbone: Onboarding & enablement,Get CS productive with the portal,In-app first-run tour for new CS Agents,,,pi-2,wsjf,1.67,"Useful once team grows beyond initial pilot.",3,1,1,3,,,,,
S052,Non-backbone: Onboarding & enablement,Get CS productive with the portal,Recorded training video that ships with CS team onboarding,,,pi-3,wsjf,1.20,"Polish; only matters at scale.",3,1,2,5,,,,,
